Store Code,DC Code,DC Name,Nama Toko,Kelurahan,Kecamatan,Kab/Kota,Latitude,Longitude,Tipe
TWUC,G027,DC BANDUNG,POINT RS SANTO YUSUP,,,KOTA BANDUNG,-6.907025,107.643353,INDOMARET
TWUE,G027,DC BANDUNG,GEGER KALONG HILIR 95,,,KOTA BANDUNG,-6.871725,107.585097,INDOMARET
TWUF,G257,DC STABAT,RAJAWALI SIMP GARUDA,,,KOTA MEDAN,3.588400,98.633453,INDOMARET
TWUG,G113,DC BOGOR,CIPENDAWA VILLA ESTATE,,,KABUPATEN BOGOR,-6.755088,107.046213,INDOMARET
TWUJ,,,RAYA RANCAIYUH NO 151,,,KABUPATEN TANGERANG,-6.309850,106.531992,INDOMARET
TWUK,G137,DC JAKARTA 2,ROROTAN MALAKA 53,,,KOTA JAKARTA UTARA,-6.136250,106.954917,INDOMARET
TWUL,G261,DC JOMBANG 2,RAYA NGAWI 19,,,KOTA SEMARANG,-7.447408,111.435780,INDOMARET
TWUM,G034,DC BALI,POINT BANDARA NGURAH RAI,,,KOTA DENPASAR,-8.743867,115.163836,INDOMARET
TWUN,G004,DC JEMBER,JELBUK - JEMBER,,,KABUPATEN JEMBER,-8.083389,113.759167,INDOMARET
TWUO,G009,DC MEDAN,SEI PIRING PULAU RAKYAT,,,KOTA MEDAN,2.714306,99.616583,INDOMARET
TWUP,G801,DC SEMARANG,PIERE TENDEAN 11,,,KOTA SEMARANG,-6.977858,110.414992,INDOMARET
TWUQ,G034,DC BALI,RAYA BESAKIH,,,KOTA DENPASAR,-8.446075,115.402794,INDOMARET
TWUR,G004,DC JEMBER,SUKOREJO BANGSALSARI,,,KOTA SURABAYA,-8.221271,113.530653,INDOMARET
TWUS,G026,DC TANGERANG,KIARA BALARAJA,,,KABUPATEN TANGERANG,-6.221583,106.438528,INDOMARET
TWUV,G177,DC PALOPO,JENDERAL SUDIRMAN SENGKANG,,,KOTA MAKASSAR,-4.134508,120.029981,INDOMARET
TWUW,G245,DC PONTIANAK,LINTAS KELOMPU,,,KOTA PONTIANAK,0.467003,110.362478,INDOMARET
TWUX,G177,DC PALOPO,RAYA RATULANGI PALOPO,,,KOTA PALOPO,-2.962194,120.182714,INDOMARET
TWUZ,G113,DC BOGOR,CIAPUS 2,,TAMANSARI,KAB. BOGOR,-6.646444,106.757056,INDOMARET
TWV0,G305,DC GRESIK,LOHGUNG,,,KOTA SURABAYA,-6.899250,112.172583,INDOMARET
TWV4,G092,DC BANJARMASIN,PADAT KARYA ANGGREK 1,,,KOTA BANJARMASIN,-3.291239,114.612294,INDOMARET
TWV9,G137,DC JAKARTA 2,POINT APT GADING NIAS,,,KOTA JAKARTA UTARA,-6.153739,106.917014,INDOMARET
TWVA,G113,DC BOGOR,BOJONG SAMPORA 2,,,KABUPATEN BOGOR,-6.978176,106.831260,INDOMARET
TWVE,G005,DC BANDAR LAMPUNG,PAGELARAN,,,KOTA BANDAR LAMPUNG,-5.371056,104.890194,INDOMARET
TWVF,G113,DC BOGOR,CILANGKAP BARU 2,,,KOTA JAKARTA TIMUR,-6.347547,106.905408,INDOMARET
TWVG,G092,DC BANJARMASIN,G OBOS 8,,,KOTA PALANGKA RAYA,-2.218878,113.913119,INDOMARET
TWVH,G009,DC MEDAN,KL YOS SUDARSO RAMBUTAN,,,KOTA MEDAN,3.369828,99.166675,INDOMARET
TWVK,G027,DC BANDUNG,NEGLASARI,,,KABUPATEN BOGOR,-7.365203,107.996656,INDOMARET
TWVO,G029,DC PALEMBANG,KARANG RINGIN,,,KOTA JAMBI,-2.791358,103.674689,INDOMARET
TWVX,G105,DC BEKASI,MUCHTAR TABRANI,,,KOTA BEKASI,-6.211528,107.003917,INDOMARET
TWVZ,G092,DC BANJARMASIN,TRIKORA 4,,,KOTA BANJARMASIN,-3.457442,114.764003,INDOMARET
TWW0,G305,DC GRESIK,BANYU SANGKAH,,,KOTA SURABAYA,-6.888606,113.028728,INDOMARET
TWW2,G156,DC KLATEN,NGAMPIN AMBARAWA-SEMARANG,,,KOTA SEMARANG,-7.267419,110.382925,INDOMARET
TWW4,G156,DC KLATEN,BEDONO-SEMARANG,,,KOTA SEMARANG,-7.308667,110.346944,INDOMARET
TWW7,G004,DC JEMBER,MANGLI 89,,,KOTA SURABAYA,-8.195472,113.652500,INDOMARET
TWW8,G107,DC PARUNG,POINT ARCADE 1,,,KOTA TANGERANG SELATAN,-6.272806,106.714417,INDOMARET
