"store_code","store_name","branch_code","branch_name","fc_code","flagroute","mds_name","latitude","longitude","tipe_toko","","","",""
"1VU9","RAYA SEKAMPUNG [RSKU]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.133684","105.410091","","","1VU9,1VZ1,1V93","",""
"1VV8","BANJAR REJO/F [BANRE]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.119171","105.334847","AC 10P COKE","","1VV8,1VZ1,1V93","",""
"1VV9","LINTAS GANJAR AGUNG/F [LAJAR]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.139826","105.278834","AC 10P COKE","","1VV9,1VZ1,1V93","",""
"1VW4","PURWOSARI LAMTIM [PWLA]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.984286","105.331762","","","1VW4,1VZ1,1V93","",""
"1VX8","REJO BASUKI","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-4.961421","105.332216","","","1VX8,1VZ1,1V93","",""
"1VY3","LINTAS TEMPURAN","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.139861","105.270513","AC 10P COKE","","1VY3,1VZ1,1V93","",""
"L003","PROKLAMATOR [L_PLR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.93689","105.21238","AU 8P COKE","","L003,1VZ1,L609","",""
"L023","SUKARSO LAMPUNG [L_SKRO]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.112260","105.305882","AU 10P COKE","","L023,1VZ1,L609","",""
"L024","A. YANI METRO [L_AYMT]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.119395","105.319416","AU 10P COKE","","L024,1VZ1,L609","",""
"L025","RAYA PUNGGUR [L_RYPR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.039059","105.275223","AC 10P COKE","","L025,1VZ1,L609","",""
"L026","AH. NASUTION [L_AHN]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.105552","105.333017","AC 10P COKE","","L026,1VZ1,L609","",""
"L028","IMAM BONJOL [L_IMBL]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.104724","105.298882","AC 10P COKE","","L028,1VZ1,L609","",""
"L037","GANJAR AGUNG [L_GJA]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.129261","105.284366","AU 10P COKE","","L037,1VZ1,L609","",""
"L039","A. YANI 2 LAMPUNG [L_AYI2]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.933817","105.210244","AU 10P COKE","","L039,1VZ1,L609","",""
"L040","PATIMURA LAMPUNG [L_PTMR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.094682","105.283873","AU 10P COKE","","L040,1VZ1,L609","",""
"L041","SOEKARNO HATTA - LPG [L_SRHT]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.138111","105.296855","AU 10P COKE","","L041,1VZ1,L609","",""
"L047","JL.RIYACHUDU - LPG [L_RHU]","1VZ1","METRO","1VZ1","1V93","AHMAD GHOZALI","-5.117646","105.303700","AU 10P COKE","","L047,1VZ1,1V93","",""
"L051","PEKALONGAN LPG [PKLN]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.082985","105.359347","AU 8P COKE","","L051,1VZ1,L609","",""
"L052","RADEN INTAN LPG [RDIN]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.110946","105.310406","AU 8P COKE","","L052,1VZ1,L609","",""
"L054","KOTA GAJAH LPG [KGJH]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.979074","105.325669","AU 10P COKE","","L054,1VZ1,L609","",""
"L058","BATANGHARI LPG [BTHR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.139759","105.374599","AC 10P COKE","","L058,1VZ1,L609","",""
"L059","PUGUNG RAHARJO [PGRO]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.299036","105.561541","","","L059,1VZ1,L609","",""
"L061","SEPUTIH RAHMAN [SPRN]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.918110","105.363155","","","L061,1VZ1,L609","",""
"L065","WAY JEPARA [WJR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.172543","105.702782","","","L065,1VZ1,L609","",""
"L067","MARGOTOTO [MGTT]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.187341","105.316034","AC 10P COKE","","L067,1VZ1,L609","",""
"L072","SIMPANG RANDU [SPRU]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.829974","105.490087","","","L072,1VZ1,L609","",""
"L075","JL. JEMB. SERONG [JBSR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.135020","105.467407","","","L075,1VZ1,L609","",""
"L079","ADILUWIH TANGGAMUS [ALWH]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.218694","105.032592","","","L079,1VZ1,L609","",""
"L082","KOTA GAJAH 2 [KGH2]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.979227","105.323538","AU 10P COKE","","L082,1VZ1,L609","",""
"L085","RY SEPUTIH BANYAK [RSB]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.844899","105.448032","","","L085,1VZ1,L609","",""
"L086","PSR TRIDATU [PSDT]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.104918","105.658256","","","L086,1VZ1,L609","",""
"L094","RY. TEGINENENG [RTNG]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.192145","105.177142","AC 10P COKE","","L094,1VZ1,L609","",""
"L095","BANDUNG BARU [BDBR]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.265360","104.980267","","","L095,1VZ1,L609","",""
"L100","KOTA GAJAH 3/F [KGH3]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.978416","105.324166","AU 8P COKE","","L100,1VZ1,L609","",""
"L106","PASAR SIDOREJO [PSSO]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.297361","105.613434","","","L106,1VZ1,L609","",""
"L107","GUNUNG SUGIH [GNSH]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.975347","105.213781","AU 10P COKE","","L107,1VZ1,L609","",""
"L112","MENGANDUNG SARI [MGSI]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.255884","105.522607","","","L112,1VZ1,L609","",""
"L113","NEGERI KATON [NGKN]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.161444","105.508791","","","L113,1VZ1,L609","",""
"L114","YUKUM JAYA [YMJY]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.927639","105.212268","AU 10P COKE","","L114,1VZ1,L609","",""
"L119","YUKUM JAYA 2 [YJY2]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.90708","105.21132","","","L119,1VZ1,L609","",""
"L141","METRO WATES [MWTS]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.097448","105.246393","","","L141,1VZ1,L609","",""
"L178","RAYA WATES [RYWS]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.099018","105.189729","AU 10P COKE","","L178,1VZ1,L609","",""
"L190","SIMPANG AGUNG [SPAG]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-4.947501","105.154731","AU 10P COKE","","L190,1VZ1,L609","",""
"L252","GOTONG ROYONG [GTRG]","1VZ1","METRO","1VZ1","L609","AHMAD GHOZALI","-5.042064","105.200568","AU 10P COKE","","L252,1VZ1,L609","",""
